Links,Description,Price
https://www.rightmove.co.uk/properties/121655024#/?channel=RES_BUY,3 bedroom terraced house for sale,"£1,425,000"
https://www.rightmove.co.uk/properties/121653326#/?channel=RES_BUY,1 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/119765132#/?channel=RES_BUY,2 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/120469814#/?channel=RES_BUY,2 bedroom flat for sale,"£520,000"
https://www.rightmove.co.uk/properties/121272452#/?channel=RES_BUY,1 bedroom flat for sale,"£315,000"
https://www.rightmove.co.uk/properties/121647518#/?channel=RES_BUY,3 bedroom maisonette for sale,"£475,000"
https://www.rightmove.co.uk/properties/121645703#/?channel=RES_BUY,2 bedroom flat for sale,"£370,000"
https://www.rightmove.co.uk/properties/121639043#/?channel=RES_BUY,2 bedroom maisonette for sale,"£375,000"
https://www.rightmove.co.uk/properties/121644164#/?channel=RES_BUY,1 bedroom apartment for sale,"£400,000"
https://www.rightmove.co.uk/properties/107769551#/?channel=RES_BUY,1 bedroom flat for sale,"£290,000"
https://www.rightmove.co.uk/properties/121355234#/?channel=RES_BUY,4 bedroom flat for sale,"£575,000"
https://www.rightmove.co.uk/properties/121643822#/?channel=RES_BUY,3 bedroom flat for sale,"£187,500"
https://www.rightmove.co.uk/properties/121643033#/?channel=RES_BUY,1 bedroom apartment for sale,"£475,000"
https://www.rightmove.co.uk/properties/120871022#/?channel=RES_BUY,3 bedroom flat for sale,"£525,000"
https://www.rightmove.co.uk/properties/120672746#/?channel=RES_BUY,3 bedroom house for sale,"£950,000"
https://www.rightmove.co.uk/properties/84034842#/?channel=RES_BUY,2 bedroom apartment for sale,"£485,000"
https://www.rightmove.co.uk/properties/121640789#/?channel=RES_BUY,2 bedroom apartment for sale,"£500,000"
https://www.rightmove.co.uk/properties/121640219#/?channel=RES_BUY,2 bedroom apartment for sale,"£520,000"
https://www.rightmove.co.uk/properties/117874970#/?channel=RES_BUY,3 bedroom apartment for sale,"£760,000"
https://www.rightmove.co.uk/properties/121639370#/?channel=RES_BUY,1 bedroom apartment for sale,"£430,000"
https://www.rightmove.co.uk/properties/121638773#/?channel=RES_BUY,2 bedroom flat for sale,"£580,000"
https://www.rightmove.co.uk/properties/121629605#/?channel=RES_BUY,1 bedroom flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/121635125#/?channel=RES_BUY,3 bedroom duplex for sale,"£1,350,000"
https://www.rightmove.co.uk/properties/121632251#/?channel=RES_BUY,2 bedroom flat for sale,"£480,000"
https://www.rightmove.co.uk/properties/121631660#/?channel=RES_BUY,1 bedroom apartment for sale,"£575,000"
https://www.rightmove.co.uk/properties/121631387#/?channel=RES_BUY,2 bedroom flat for sale,"£579,950"
https://www.rightmove.co.uk/properties/119793962#/?channel=RES_BUY,3 bedroom semi-detached house for sale,"£900,000"
https://www.rightmove.co.uk/properties/112456553#/?channel=RES_BUY,2 bedroom flat for sale,"£390,000"
https://www.rightmove.co.uk/properties/121629290#/?channel=RES_BUY,1 bedroom flat for sale,"£470,000"
https://www.rightmove.co.uk/properties/121628321#/?channel=RES_BUY,2 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/121384955#/?channel=RES_BUY,1 bedroom flat for sale,"£325,000"
https://www.rightmove.co.uk/properties/119802974#/?channel=RES_BUY,4 bedroom terraced house for sale,"£1,100,000"
https://www.rightmove.co.uk/properties/121627322#/?channel=RES_BUY,2 bedroom apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/121625741#/?channel=RES_BUY,2 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/120011435#/?channel=RES_BUY,2 bedroom flat for sale,"£385,000"
https://www.rightmove.co.uk/properties/121621829#/?channel=RES_BUY,3 bedroom penthouse for sale,"£1,175,000"
https://www.rightmove.co.uk/properties/121621037#/?channel=RES_BUY,2 bedroom apartment for sale,"£500,000"
https://www.rightmove.co.uk/properties/121061186#/?channel=RES_BUY,2 bedroom apartment for sale,"£395,000"
https://www.rightmove.co.uk/properties/121618613#/?channel=RES_BUY,1 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/121616474#/?channel=RES_BUY,2 bedroom flat for sale,"£670,000"
https://www.rightmove.co.uk/properties/121604768#/?channel=RES_BUY,1 bedroom apartment for sale,"£325,000"
https://www.rightmove.co.uk/properties/84042867#/?channel=RES_BUY,Studio flat for sale,"£245,000"
https://www.rightmove.co.uk/properties/121590293#/?channel=RES_BUY,2 bedroom flat for sale,"£300,000"
https://www.rightmove.co.uk/properties/121587821#/?channel=RES_BUY,2 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/121585775#/?channel=RES_BUY,2 bedroom flat for sale,"£595,000"
https://www.rightmove.co.uk/properties/121582973#/?channel=RES_BUY,2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/121582916#/?channel=RES_BUY,2 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/121582616#/?channel=RES_BUY,2 bedroom apartment for sale,"£475,000"
https://www.rightmove.co.uk/properties/121564223#/?channel=RES_BUY,1 bedroom apartment for sale,"£330,000"
https://www.rightmove.co.uk/properties/121581824#/?channel=RES_BUY,2 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/121573601#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,200,000"
https://www.rightmove.co.uk/properties/121573013#/?channel=RES_BUY,1 bedroom flat for sale,"£325,000"
https://www.rightmove.co.uk/properties/109948973#/?channel=RES_BUY,1 bedroom apartment for sale,"£515,000"
https://www.rightmove.co.uk/properties/120331418#/?channel=RES_BUY,4 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/121567808#/?channel=RES_BUY,1 bedroom flat for sale,"£385,000"
https://www.rightmove.co.uk/properties/121564187#/?channel=RES_BUY,2 bedroom terraced house for sale,"£1,150,000"
https://www.rightmove.co.uk/properties/121563620#/?channel=RES_BUY,4 bedroom terraced house for sale,"£695,000"
https://www.rightmove.co.uk/properties/113654471#/?channel=RES_BUY,3 bedroom terraced house for sale,"£1,395,000"
https://www.rightmove.co.uk/properties/121559498#/?channel=RES_BUY,2 bedroom apartment for sale,"£400,000"
https://www.rightmove.co.uk/properties/120469814#/?channel=RES_BUY,2 bedroom flat for sale,"£520,000"
https://www.rightmove.co.uk/properties/121556240#/?channel=RES_BUY,3 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/121554752#/?channel=RES_BUY,4 bedroom terraced house for sale,"£950,000"
https://www.rightmove.co.uk/properties/121554602#/?channel=RES_BUY,2 bedroom apartment for sale,"£445,000"
https://www.rightmove.co.uk/properties/121554353#/?channel=RES_BUY,2 bedroom apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/121553063#/?channel=RES_BUY,3 bedroom terraced house for sale,"£450,000"
https://www.rightmove.co.uk/properties/121553039#/?channel=RES_BUY,2 bedroom duplex for sale,"£750,000"
https://www.rightmove.co.uk/properties/121552583#/?channel=RES_BUY,2 bedroom flat for sale,"£715,000"
https://www.rightmove.co.uk/properties/121552103#/?channel=RES_BUY,3 bedroom flat for sale,"£435,000"
https://www.rightmove.co.uk/properties/121550471#/?channel=RES_BUY,1 bedroom apartment for sale,"£350,000"
https://www.rightmove.co.uk/properties/119941388#/?channel=RES_BUY,2 bedroom flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/121547801#/?channel=RES_BUY,1 bedroom apartment for sale,"£320,000"
https://www.rightmove.co.uk/properties/121546895#/?channel=RES_BUY,2 bedroom apartment for sale,"£850,000"
https://www.rightmove.co.uk/properties/109646402#/?channel=RES_BUY,1 bedroom flat for sale,"£269,995"
https://www.rightmove.co.uk/properties/121546289#/?channel=RES_BUY,Studio flat for sale,"£325,000"
https://www.rightmove.co.uk/properties/121545320#/?channel=RES_BUY,1 bedroom flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/119560826#/?channel=RES_BUY,1 bedroom apartment for sale,"£300,000"
https://www.rightmove.co.uk/properties/121541279#/?channel=RES_BUY,1 bedroom apartment for sale,"£375,000"
https://www.rightmove.co.uk/properties/121540670#/?channel=RES_BUY,2 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/121537715#/?channel=RES_BUY,1 bedroom flat for sale,"£575,000"
https://www.rightmove.co.uk/properties/121535357#/?channel=RES_BUY,3 bedroom apartment for sale,"£950,000"
https://www.rightmove.co.uk/properties/119970737#/?channel=RES_BUY,Studio apartment for sale,"£450,000"
https://www.rightmove.co.uk/properties/121532414#/?channel=RES_BUY,1 bedroom flat for sale,"£359,950"
https://www.rightmove.co.uk/properties/121531577#/?channel=RES_BUY,1 bedroom apartment for sale,"£500,000"
https://www.rightmove.co.uk/properties/109932953#/?channel=RES_BUY,1 bedroom flat for sale,"£515,000"
https://www.rightmove.co.uk/properties/113111120#/?channel=RES_BUY,2 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121530956#/?channel=RES_BUY,1 bedroom flat for sale,"£525,000"
https://www.rightmove.co.uk/properties/109932842#/?channel=RES_BUY,1 bedroom flat for sale,"£515,000"
https://www.rightmove.co.uk/properties/121529813#/?channel=RES_BUY,1 bedroom flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/82516150#/?channel=RES_BUY,1 bedroom house for sale,"£160,000"
https://www.rightmove.co.uk/properties/121521071#/?channel=RES_BUY,2 bedroom flat for sale,"£370,000"
https://www.rightmove.co.uk/properties/121518482#/?channel=RES_BUY,4 bedroom flat for sale,"£4,000,000"
https://www.rightmove.co.uk/properties/121518131#/?channel=RES_BUY,3 bedroom terraced house for sale,"£900,000"
https://www.rightmove.co.uk/properties/84003468#/?channel=RES_BUY,2 bedroom house for sale,"£625,000"
https://www.rightmove.co.uk/properties/121515689#/?channel=RES_BUY,Studio flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121511867#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,150,000"
https://www.rightmove.co.uk/properties/121511804#/?channel=RES_BUY,1 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/121511585#/?channel=RES_BUY,1 bedroom apartment for sale,"£428,000"
https://www.rightmove.co.uk/properties/121511483#/?channel=RES_BUY,1 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/106065659#/?channel=RES_BUY,3 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/121508654#/?channel=RES_BUY,2 bedroom apartment for sale,"£638,000"
https://www.rightmove.co.uk/properties/121505063#/?channel=RES_BUY,2 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/120285131#/?channel=RES_BUY,1 bedroom apartment for sale,"£350,000"
https://www.rightmove.co.uk/properties/120521876#/?channel=RES_BUY,2 bedroom flat for sale,"£375,000"
https://www.rightmove.co.uk/properties/114802451#/?channel=RES_BUY,3 bedroom maisonette for sale,"£450,000"
https://www.rightmove.co.uk/properties/121504340#/?channel=RES_BUY,Studio flat for sale,"£690,000"
https://www.rightmove.co.uk/properties/121504121#/?channel=RES_BUY,2 bedroom flat for sale,"£657,000"
https://www.rightmove.co.uk/properties/120120860#/?channel=RES_BUY,2 bedroom apartment for sale,"£395,000"
https://www.rightmove.co.uk/properties/121501991#/?channel=RES_BUY,4 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/121501751#/?channel=RES_BUY,1 bedroom flat for sale,"£540,000"
https://www.rightmove.co.uk/properties/121202015#/?channel=RES_BUY,2 bedroom apartment for sale,"£700,000"
https://www.rightmove.co.uk/properties/121498559#/?channel=RES_BUY,2 bedroom apartment for sale,"£575,000"
https://www.rightmove.co.uk/properties/121496945#/?channel=RES_BUY,4 bedroom town house for sale,"£675,000"
https://www.rightmove.co.uk/properties/121493975#/?channel=RES_BUY,2 bedroom flat for sale,"£545,000"
https://www.rightmove.co.uk/properties/121492832#/?channel=RES_BUY,3 bedroom end of terrace house for sale,"£650,000"
https://www.rightmove.co.uk/properties/120980495#/?channel=RES_BUY,1 bedroom apartment for sale,"£200,000"
https://www.rightmove.co.uk/properties/121488527#/?channel=RES_BUY,2 bedroom flat for sale,"£300,000"
https://www.rightmove.co.uk/properties/121486856#/?channel=RES_BUY,3 bedroom terraced house for sale,"£699,995"
https://www.rightmove.co.uk/properties/121061054#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,175,000"
https://www.rightmove.co.uk/properties/121483400#/?channel=RES_BUY,2 bedroom flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/121468202#/?channel=RES_BUY,Studio flat for sale,"£365,000"
https://www.rightmove.co.uk/properties/119412611#/?channel=RES_BUY,2 bedroom flat for sale,"£940,000"
https://www.rightmove.co.uk/properties/121463093#/?channel=RES_BUY,2 bedroom flat for sale,"£650,000"
https://www.rightmove.co.uk/properties/119135864#/?channel=RES_BUY,7 bedroom terraced house for sale,"£1,665,000"
